"Gender","Age","Induction","Content1","Calm1","Energetic1","Empowered1","Sad1","Frustrated1","Vigilant1","Bored1","Serene1","Unhappy1","SelfAssured1","Vulnerable1","Stressed1","Surprised1","InControl1","Active1","Depressed1","Unconcerned1","Nervous1","Enthusiastic1","Relaxed1","Anxious1","Overwhelmed1","Helpless1","AtEase1","Confident1","Angry1","Scared1","Satisfied1","Disheartened1","Upset1","Passive1","Panicked1","Asleep1","Happy1","Elated1","Joyful1","Insecure1","Tense1","Aggressive1","Content2","Calm2","Energetic2","Empowered2","Sad2","Frustrated2","Vigilant2","Bored2","Serene2","Unhappy2","SelfAssured2","Vulnerable2","Stressed2","Surprised2","InControl2","Active2","Depressed2","Unconcerned2","Nervous2","Enthusiastic2","Relaxed2","Anxious2","Overwhelmed2","Helpless2","AtEase2","Confident2","Angry2","Scared2","Satisfied2","Disheartened2","Upset2","Passive2","Panicked2","Asleep2","Happy2","Elated2","Joyful2","Insecure2","Tense2","Aggressive2"
"F","21","Neutral","80",70,80,70,10,15,50,25,71,10,81,25,36,10,71,50,10,35,30,60,65,30,10,57,65,75,10,10,65,5,15,60,10,60,85,45,85,10,10,5,80,65,45,70,10,25,65,40,65,5,65,30,24,35,75,50,10,15,30,85,70,10,11,35,55,80,10,10,60,5,25,80,5,45,85,55,70,15,5,5
"F","20","Neutral","68",64,34,21,20,0,74,32,36,6,76,66,35,0,88,62,5,36,62,100,51,38,0,0,52,69,0,14,74,0,0,6,0,86,72,31,30,100,54,0,74,70,29,15,11,0,58,17,70,0,28,39,44,0,74,7,6,78,63,61,66,38,0,15,80,59,0,0,48,0,0,26,0,93,66,2,49,36,25,0
"F","21","Neutral","23",73,14,6,78,22,46,70,32,93,17,10,78,0,73,19,100,73,63,9,20,90,67,75,47,9,0,0,4,78,64,65,5,100,26,17,19,30,78,0,25,100,20,10,72,25,0,50,45,70,9,0,6,12,8,38,78,86,7,33,90,15,0,58,80,34,0,0,65,0,16,68,0,100,8,21,21,28,30,0
"F","20","Neutral","57",76,37,18,7,10,28,14,69,10,66,14,13,4,39,16,3,16,7,37,75,10,9,29,68,35,19,15,12,22,6,38,6,68,49,6,8,10,6,4,12,68,10,10,4,18,38,22,29,12,12,24,14,10,4,18,9,36,33,26,24,18,6,12,28,29,6,10,10,18,8,12,12,69,44,18,15,24,23,6
"F","21","Neutral","88",85,70,58,0,0,30,0,50,4,62,30,19,15,62,84,0,0,13,75,73,7,7,17,71,53,0,0,80,0,6,17,0,8,81,21,81,27,6,0,91,90,91,57,0,0,33,0,85,0,69,9,7,9,78,84,0,0,0,85,91,6,0,7,81,83,0,0,77,0,0,0,0,0,81,67,83,36,8,0
"F","19","Neutral","53",50,53,50,28,21,28,21,53,50,22,61,45,51,52,55,22,18,58,71,21,49,21,55,21,27,22,27,0,50,0,13,0,13,0,35,0,22,0,13,49,23,28,24,17,51,63,24,17,43,17,57,49,73,49,73,17,22,39,53,16,45,56,69,21,25,20,26,14,13,14,13,31,14,48,15,48,19,29,15
"F","20","Neutral","21",21,58,49,4,11,4,11,10,6,49,11,54,30,44,10,30,16,7,11,6,40,5,8,28,17,3,9,52,17,5,54,5,6,23,3,73,11,48,4,5,21,45,13,4,50,16,7,41,5,48,5,6,33,38,53,5,4,7,5,19,5,5,9,33,63,5,6,5,6,54,14,6,4,14,6,38,6,7,6
"F","19","Neutral","70",83,58,53,7,14,43,7,64,0,52,59,9,5,78,55,0,4,4,58,84,53,0,84,78,39,0,6,16,25,0,0,0,20,77,6,59,9,7,0,62,67,59,48,7,48,64,7,65,0,49,68,15,3,78,51,0,0,11,58,51,60,0,57,76,51,0,11,57,0,0,5,10,22,90,0,49,48,0,0
"F","20","Neutral","85",85,85,72,13,4,51,9,89,2,49,26,28,4,51,23,9,4,28,53,63,6,24,13,78,34,6,7,82,3,5,3,5,4,88,4,88,4,5,3,81,53,70,54,1,7,64,3,56,1,41,2,5,2,13,56,2,2,3,74,72,5,3,7,8,46,2,2,74,3,4,3,2,5,84,2,84,2,4,2
"F","20","Neutral","82",53,85,42,10,5,6,26,76,2,85,17,4,2,53,15,4,67,14,80,61,5,4,6,71,95,5,3,60,4,2,5,2,42,88,3,89,5,5,5,85,93,50,82,5,4,3,91,52,5,67,5,2,5,15,14,2,4,0,32,67,3,2,6,92,88,3,5,70,5,3,67,5,93,87,5,88,5,5,5
"F","19","Neutral","95",90,70,40,0,0,5,0,95,0,75,0,10,15,30,55,0,0,0,80,75,0,0,0,55,80,0,0,65,0,0,0,0,10,35,0,55,0,0,0,80,85,65,30,0,0,0,0,90,0,55,0,0,30,65,70,0,0,0,80,70,0,0,0,60,80,0,0,70,0,0,0,0,0,35,0,75,0,0,0
"F","19","Sad","51",70,26,21,5,60,47,20,19,6,17,42,59,11,26,42,5,21,59,7,39,63,26,57,20,22,2,60,67,60,14,22,30,54,68,9,57,54,79,2,33,50,29,22,49,49,46,4,26,23,26,39,23,39,23,20,48,6,34,15,42,27,36,70,36,21,19,44,19,36,58,5,5,18,12,6,12,43,33,2
"F","20","Sad","57",39,39,69,24,20,67,9,47,11,60,24,14,17,78,36,22,29,14,17,48,36,57,11,45,64,34,23,36,15,25,8,30,13,56,26,52,35,45,19,18,53,12,32,47,23,21,40,40,33,58,63,12,12,84,13,32,10,15,15,35,28,46,54,21,36,34,12,25,47,29,23,12,58,50,12,35,51,67,27
"F","19","Sad","72",77,62,28,12,15,51,20,61,5,55,15,69,6,69,44,8,15,54,45,67,70,73,45,72,36,19,10,67,46,23,47,35,24,75,38,67,15,51,10,61,65,49,22,35,12,11,13,48,10,32,22,73,13,19,22,24,12,58,35,51,69,50,27,17,15,12,28,30,19,34,21,54,11,60,15,48,26,48,6
"F","21","Sad","72",24,14,50,0,48,53,48,4,10,16,1,80,79,27,6,14,2,55,72,30,96,95,63,17,40,2,51,49,9,2,96,86,98,83,3,69,2,4,4,1,3,1,1,89,55,81,43,1,25,1,99,92,23,1,6,78,15,52,2,1,96,90,96,21,8,73,54,1,79,86,22,13,32,28,1,11,98,74,90
"F","20","Sad","65",72,59,46,34,68,69,0,24,18,56,67,80,74,48,0,1,5,50,18,20,69,30,36,26,53,0,30,47,36,39,7,0,68,53,3,36,23,0,0,54,12,41,33,41,70,84,0,10,11,36,68,66,15,39,0,32,14,57,41,5,81,24,73,7,34,0,39,38,65,58,5,5,61,33,0,8,13,55,0
"F","20","Sad","86",75,90,19,11,14,23,18,74,14,27,26,88,11,37,37,9,25,30,77,34,66,19,36,19,20,10,15,63,10,24,22,20,33,72,29,74,39,26,12,59,50,52,15,30,19,22,18,46,23,26,35,20,17,28,22,26,14,21,39,43,20,29,29,39,25,13,18,26,12,18,14,13,27,67,15,46,17,15,15
"F","19","Sad","47",60,19,8,10,20,46,5,14,6,75,1,5,19,55,45,17,51,27,25,14,5,1,1,71,72,3,1,75,1,5,10,1,60,60,3,48,3,5,1,43,56,3,1,13,3,18,4,6,11,62,1,8,12,21,15,16,8,9,10,3,8,2,4,33,19,5,1,10,12,4,27,1,50,24,1,21,1,40,13
"F","19","Sad","70",75,60,25,15,15,50,15,80,20,65,40,20,35,75,55,10,45,15,65,63,15,15,25,60,75,10,10,35,10,10,25,10,20,60,25,60,20,15,5,75,80,65,10,20,15,35,5,65,10,40,10,15,20,80,60,10,15,20,55,47,15,15,5,60,55,15,5,55,5,15,45,5,15,65,30,60,25,10,5
"F","19","Sad","84",100,35,16,49,0,95,0,49,0,27,33,82,0,96,9,15,70,51,51,10,86,2,0,30,31,0,0,80,6,93,76,0,95,83,10,52,0,29,0,12,75,3,77,77,65,92,0,19,22,9,31,97,7,82,0,89,0,66,0,9,81,2,93,20,7,8,93,0,0,41,9,56,46,23,1,6,0,60,0
"F","18","Sad","81",56,29,38,23,1,68,31,52,13,77,7,20,4,58,20,6,19,15,56,23,6,2,3,42,78,5,2,58,1,1,29,1,23,70,2,79,1,15,2,48,74,31,7,15,2,64,8,38,19,62,31,1,0,11,19,9,13,2,9,9,1,7,13,31,48,28,3,6,2,3,56,1,34,33,3,33,1,2,6
"F","19","Sad","80",25,72,29,0,3,9,0,52,0,44,29,73,0,77,50,0,0,25,71,51,88,43,0,14,9,0,6,20,0,0,0,0,0,73,37,85,51,52,0,57,91,14,10,22,0,14,0,0,3,6,19,17,9,3,23,0,15,7,0,26,49,51,21,35,5,0,11,0,0,5,11,0,0,34,0,11,50,76,0
"F","19","Sad","87",95,52,53,28,1,9,7,89,2,54,3,0,0,100,50,2,50,2,50,100,2,52,0,92,51,2,0,87,52,4,20,4,0,75,5,75,2,3,0,32,52,3,32,44,31,4,31,18,41,46,42,16,54,48,12,71,4,56,20,28,35,69,66,32,46,55,21,99,47,44,70,34,4,25,5,24,6,23,3
"F","19","Sad","100",100,48,52,13,0,68,0,88,0,100,51,9,0,100,24,7,0,0,61,94,12,0,0,90,100,0,0,100,0,0,0,0,15,100,0,100,0,0,0,94,68,34,95,23,10,48,0,17,0,94,87,49,14,14,56,0,0,30,0,45,54,43,53,67,90,4,50,0,29,15,0,33,6,94,0,94,0,32,0
"F","28","Sad","94",100,94,63,0,0,57,0,100,0,64,0,50,52,91,94,0,1,0,92,83,0,0,3,83,83,0,0,81,0,0,0,0,18,96,66,96,8,6,0,55,69,68,26,33,2,47,0,79,0,58,28,46,63,71,72,18,0,15,80,67,21,4,26,55,69,11,23,73,0,4,6,0,65,85,20,45,0,24,0
"F","19","Sad","55",63,28,40,20,2,11,19,37,34,24,71,61,13,16,31,36,65,51,78,21,42,44,14,35,27,3,13,60,7,0,86,8,51,46,20,21,20,21,0,42,48,41,32,49,63,23,26,37,26,35,70,43,33,28,57,39,14,28,29,38,36,42,76,27,31,34,44,49,45,64,68,23,37,49,19,18,42,26,6
"F","19","Sad","81",100,20,54,0,0,0,0,80,0,75,0,25,52,100,94,14,24,13,65,100,0,0,0,100,100,0,0,75,0,0,58,0,95,96,0,68,0,0,0,83,100,28,54,46,0,0,0,100,0,100,0,0,70,100,45,35,47,0,77,100,0,0,0,100,98,0,0,84,0,32,40,0,75,63,0,60,0,0,0
"F","19","Sad","46",90,5,11,0,0,77,49,77,0,45,0,2,51,100,65,0,2,0,55,45,1,4,1,100,57,0,1,49,6,0,50,0,76,52,2,58,1,6,0,38,61,6,16,58,16,2,67,77,10,48,1,1,90,7,13,25,78,1,4,7,0,7,22,50,41,6,22,5,2,4,44,0,97,19,1,19,21,46,2
"F","19","Sad","93",93,55,28,5,8,46,2,75,4,33,10,53,4,66,88,5,6,30,89,87,50,71,15,84,36,3,10,31,15,4,7,15,6,90,15,83,5,5,6,64,91,40,12,48,7,30,7,10,17,37,65,83,7,32,17,14,6,53,12,35,91,35,90,70,12,6,90,9,69,4,18,25,26,79,4,68,12,21,3
"F","19","Sad","55",87,32,18,60,39,40,64,20,53,20,18,51,19,19,26,62,34,25,37,71,14,17,78,71,44,10,69,38,72,28,64,2,46,34,16,33,46,11,21,12,27,10,17,36,17,59,11,10,41,13,30,83,28,15,16,43,16,77,25,18,80,62,53,14,10,17,63,12,21,17,42,41,31,13,11,9,42,32,15
"F","19","Sad","72",67,19,18,8,8,49,25,60,4,37,53,40,48,51,27,3,47,24,62,60,39,46,15,60,45,4,12,68,6,7,32,3,49,63,19,55,32,25,5,30,46,11,9,35,8,25,12,31,18,28,37,15,21,22,19,22,8,9,12,19,21,42,18,27,21,4,10,17,15,7,30,3,27,35,4,8,30,27,3
"F","19","Sad","33",83,25,40,5,4,51,0,16,25,37,59,25,4,90,67,2,50,0,37,14,25,57,3,31,4,6,6,58,0,9,0,0,4,41,13,49,64,28,0,51,56,32,19,5,69,70,1,17,21,32,78,47,1,85,20,4,6,9,11,14,55,22,4,6,2,32,2,16,0,6,0,0,7,31,1,52,65,60,2
"F","19","Sad","65",50,55,10,25,5,60,5,25,5,25,10,55,18,50,25,5,10,47,30,50,30,35,5,50,15,35,9,40,10,15,15,15,5,70,25,55,5,25,5,60,30,20,10,50,40,55,5,25,10,10,20,57,15,35,10,40,15,40,25,22,35,15,25,35,10,10,30,45,10,10,5,45,5,55,20,55,10,40,5
"F","19","Sad","60",53,67,33,20,17,57,39,41,18,66,77,27,24,60,47,16,21,26,67,41,75,12,29,37,63,20,38,58,35,25,48,17,28,52,26,57,56,14,19,26,45,21,29,47,61,62,53,30,46,32,85,42,71,27,31,36,27,61,30,12,62,42,74,23,28,23,25,20,55,51,42,44,20,35,28,23,73,44,23
"F","20","Sad","36",72,44,7,15,7,9,19,14,12,20,19,20,9,37,38,16,20,18,80,72,13,6,14,70,25,5,5,30,7,7,7,22,9,22,21,48,39,15,18,20,15,15,10,45,10,15,10,15,25,10,60,15,10,20,10,45,20,30,10,25,30,10,35,15,7,5,11,10,56,5,10,10,5,15,8,10,35,15,10
"F","20","Sad","76",89,84,72,13,1,56,2,61,2,61,2,97,1,88,88,11,3,1,2,32,2,4,2,89,74,1,1,86,1,1,2,3,1,77,0,95,2,1,2,88,78,88,96,10,2,10,3,52,3,53,4,5,3,100,76,5,58,4,85,84,66,4,4,85,78,2,2,47,3,2,2,2,3,90,0,90,9,3,1
"M","22","Angry","22",75,0,0,0,0,17,0,65,0,17,0,4,0,25,0,0,100,0,0,4,0,0,0,0,6,0,0,0,0,0,74,0,7,14,0,9,0,6,0,0,3,0,0,0,0,26,0,0,0,0,0,0,0,32,52,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,0
"F","21","Happy","64",54,50,37,16,41,60,1,8,10,51,52,81,1,51,56,35,1,65,59,12,95,38,17,12,31,1,20,46,2,28,2,10,16,62,26,46,9,80,1,56,28,56,35,10,12,56,1,15,4,38,24,68,1,51,61,16,1,37,64,25,85,14,5,25,50,1,1,48,2,8,1,5,5,64,46,63,4,60,1
"F","18","Neutral","59",87,22,57,5,13,7,4,85,6,77,7,6,14,61,14,0,15,9,18,65,10,8,9,85,68,25,20,20,5,30,5,0,65,80,51,68,4,53,5,70,88,54,73,5,10,5,5,90,10,72,5,10,70,67,46,5,10,22,70,88,13,15,5,88,80,10,20,30,5,15,15,0,60,85,70,72,5,20,10
"F","20","Sad","56",31,49,12,60,36,83,8,5,28,21,65,89,8,38,17,73,27,86,32,20,75,63,38,14,22,14,90,51,32,11,18,43,3,50,19,63,14,85,15,25,71,9,12,79,55,24,25,10,75,10,65,78,6,16,6,75,89,18,13,25,79,65,82,16,25,72,77,13,28,56,52,19,32,23,24,22,74,69,24
"F","19","Angry","91",82,79,42,12,20,0,5,92,2,90,4,4,16,84,25,4,5,1,91,82,2,1,15,93,68,1,6,87,20,1,84,1,12,70,74,74,2,2,3,73,91,28,54,9,17,35,7,38,2,43,11,17,5,44,55,9,7,8,43,53,8,12,43,59,58,6,3,48,5,27,16,5,5,39,38,45,3,14,4
"F","25","Happy","50",52,31,32,5,52,75,26,30,26,49,41,93,19,70,60,14,33,37,49,16,70,92,46,44,57,15,25,51,24,15,60,83,59,87,32,50,6,66,6,82,67,56,71,15,22,15,21,58,22,64,15,55,72,60,72,14,23,17,76,48,35,28,25,28,71,15,13,75,20,13,13,13,39,77,64,80,4,13,5
"F","21","Neutral","85",90,85,90,65,5,10,5,60,50,85,5,10,5,25,50,5,5,35,59,5,5,15,10,7,80,5,5,95,5,10,5,5,50,55,5,55,5,5,5,85,95,49,95,5,5,5,5,50,5,90,5,5,5,90,52,5,5,5,70,90,5,5,5,95,75,5,5,75,5,5,5,5,5,70,5,71,5,3,5
"F","31","Sad","80",64,60,78,20,50,75,36,30,5,70,81,51,23,61,90,15,5,30,89,30,18,5,13,49,85,10,19,79,7,10,20,9,38,82,58,80,37,79,8,65,77,72,74,20,38,72,11,63,7,77,86,57,15,69,86,5,7,27,60,61,33,6,60,61,68,13,11,62,7,7,9,10,17,75,52,59,27,25,12
"F","28","Angry","25",61,15,2,10,4,25,4,40,6,30,6,5,7,84,17,67,91,4,7,30,30,29,17,7,76,5,8,22,63,5,54,4,30,8,6,7,7,9,7,4,62,6,9,12,10,15,37,46,12,17,9,11,10,65,10,57,80,9,6,20,25,9,9,39,21,10,7,20,31,11,56,5,52,10,10,9,10,8,10
"F","49","Happy","85",85,65,45,6,8,81,10,82,4,78,18,34,46,56,71,2,7,19,85,87,13,7,6,85,80,4,5,65,6,13,6,5,6,56,24,68,4,4,4,91,86,87,15,5,5,15,4,36,4,23,3,4,2,5,21,2,3,3,59,48,3,5,4,87,20,3,3,36,3,3,3,3,4,78,16,78,3,4,3
"F","22","Neutral","72",75,62,10,5,15,30,5,75,5,55,15,20,40,42,75,5,5,10,65,77,6,15,5,77,75,5,5,50,5,3,5,2,15,79,3,78,3,6,3,85,85,65,15,5,5,50,2,15,2,50,11,5,38,55,70,5,2,5,70,65,4,20,2,61,55,2,2,70,2,2,2,6,6,75,1,75,1,10,1
"F","21","Sad","81",44,80,12,13,0,36,0,71,0,52,0,16,24,17,58,4,5,26,50,48,15,0,0,48,50,0,5,55,0,5,5,0,5,55,15,55,0,5,0,80,30,75,10,10,0,10,10,35,0,10,0,10,25,5,30,0,55,10,55,45,10,0,0,15,40,0,0,50,0,0,10,0,10,45,20,35,0,0,0
"F","25","Angry","70",43,74,51,24,34,6,2,17,17,73,14,32,23,52,49,5,10,23,58,36,28,27,17,40,60,7,9,66,4,6,17,3,7,70,59,61,25,23,6,16,9,14,12,6,77,35,12,6,48,7,93,87,58,6,70,3,4,77,8,4,71,80,84,4,16,80,56,8,24,15,20,31,8,6,11,9,81,74,64
"F","20","Happy","50",45,35,80,0,5,45,0,10,0,75,0,5,5,50,0,0,0,5,15,40,0,0,0,40,80,0,0,20,0,0,0,0,5,50,0,20,0,0,0,55,35,50,80,0,0,0,0,30,0,75,0,0,0,0,40,0,0,0,25,40,0,0,0,50,70,0,0,25,0,0,0,0,0,55,35,40,0,0,0
"M","22","Neutral","35",23,14,0,15,0,45,0,13,0,10,0,24,0,12,0,5,0,23,0,17,18,0,0,19,0,0,0,0,4,0,0,0,0,3,0,3,0,6,0,0,4,14,0,0,0,31,0,0,0,0,0,23,10,0,8,0,0,10,0,0,10,15,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,10,0
"F","27","Sad","44",47,28,13,34,27,66,14,31,40,15,77,69,14,9,36,75,50,70,42,22,75,57,83,33,16,23,23,43,40,36,75,25,61,38,18,35,73,66,35,27,27,19,13,49,47,57,58,30,62,14,89,57,34,14,29,60,26,35,22,22,82,47,75,41,17,35,48,37,62,66,63,32,48,40,14,22,80,73,29
"F","19","Angry","77",91,67,30,8,0,2,0,68,0,32,3,46,0,53,53,0,0,6,82,47,53,6,0,71,21,4,5,74,0,0,0,5,5,81,0,81,5,13,0,80,75,55,10,15,5,10,10,60,5,15,15,35,43,50,10,5,5,10,65,51,25,10,35,50,20,15,10,80,5,10,5,5,10,65,15,65,5,10,5
"F","28","Happy","20",5,8,7,62,5,70,42,4,18,16,52,32,6,43,3,7,1,48,13,17,36,80,5,3,9,10,48,18,4,4,2,6,29,11,6,5,35,0,0,6,15,19,7,9,11,15,2,20,4,8,14,23,11,15,29,25,4,11,29,9,3,27,4,18,9,4,7,20,6,15,3,6,9,26,13,23,7,8,1
"F","40","Neutral","35",51,48,51,70,68,31,8,20,62,33,64,11,3,58,79,58,4,14,61,38,7,42,15,19,20,23,43,22,20,64,5,3,8,24,12,15,38,47,11,44,53,43,27,15,27,15,14,44,11,44,16,12,8,29,31,18,5,18,25,39,6,11,7,47,42,10,5,36,15,23,5,6,10,14,25,14,20,13,7
"F","20","Sad","24",82,46,82,0,0,0,0,84,0,83,0,17,0,79,52,19,45,0,0,55,0,0,0,86,84,0,0,50,0,0,23,0,7,0,0,0,0,0,0,0,69,17,80,0,30,0,0,59,0,74,0,12,0,71,0,13,40,9,0,70,0,0,0,54,40,3,0,0,13,15,47,0,19,0,0,0,0,0,0
"F","22","Angry","82",15,74,11,16,3,89,9,28,16,36,48,60,5,11,69,5,4,24,28,18,81,61,34,20,20,16,9,15,28,29,9,24,29,57,46,42,25,30,20,46,64,33,15,10,28,21,27,31,49,18,63,13,32,43,20,14,57,10,41,28,28,19,12,47,29,18,5,37,53,30,40,20,18,39,20,40,40,9,5
"F","27","Happy","65",26,35,38,14,50,46,27,23,43,31,26,72,9,87,20,59,9,29,52,32,72,62,80,18,38,25,19,36,9,17,20,9,14,56,62,13,20,18,9,68,67,65,14,10,53,15,9,53,15,30,9,62,6,74,17,18,5,7,43,65,52,31,8,49,59,9,6,40,6,12,3,7,6,44,16,40,23,6,4
"F","23","Neutral","78",3,53,10,33,0,89,0,32,0,31,53,4,12,50,82,5,12,34,55,18,13,1,0,36,54,18,21,83,40,1,0,0,0,81,42,81,22,8,0,50,12,34,0,34,0,45,3,6,0,2,64,47,8,5,52,2,0,46,10,4,65,13,8,3,2,0,66,15,2,0,9,4,44,44,44,44,79,68,0
"M","29","Sad","70",100,27,33,50,0,88,84,95,24,99,7,7,2,90,51,30,80,2,49,95,0,0,0,99,90,0,0,91,0,0,58,0,25,49,9,81,0,0,0,73,91,15,49,1,0,52,4,99,4,86,6,0,0,0,1,9,5,6,57,83,6,0,0,90,58,0,0,90,0,0,11,0,9,45,18,45,0,4,0
"F","21","Angry","56",86,30,20,0,0,30,16,85,0,58,0,0,30,50,40,0,5,0,25,51,3,0,35,50,84,0,0,38,0,0,33,0,18,34,5,29,0,3,0,85,40,43,15,0,0,20,15,55,0,55,0,0,40,30,55,0,0,0,36,57,0,0,0,55,20,0,0,25,0,0,10,0,15,30,25,35,0,0,0
"F","24","Happy","57",63,37,18,9,1,0,1,79,4,82,64,0,6,64,24,2,0,0,25,79,0,72,3,65,26,6,0,6,6,5,1,0,12,11,21,11,15,0,4,39,15,22,7,11,1,36,0,16,6,6,30,32,30,47,59,1,0,10,2,2,28,17,24,9,7,2,19,5,1,0,0,8,1,15,6,15,19,20,2
"F","24","Neutral","65",63,60,17,20,23,69,35,79,17,75,7,27,41,72,72,9,14,39,63,61,24,13,18,59,55,7,26,61,23,8,17,27,10,65,53,58,29,19,3,59,32,62,49,19,31,91,8,27,7,57,31,34,81,64,70,11,14,45,57,33,46,45,30,25,34,32,19,44,14,10,12,46,6,53,63,49,54,38,4
"F","19","Sad","40",29,10,6,57,29,80,48,25,18,25,74,100,0,100,0,41,75,100,0,25,82,81,15,8,0,82,0,17,0,53,20,0,21,33,0,0,51,72,35,0,0,0,0,52,30,10,54,0,6,0,78,73,0,100,0,11,9,100,0,0,63,100,15,0,0,58,60,0,0,56,0,19,9,0,0,0,26,51,51
"M","21","Angry","33",76,37,40,54,51,36,74,41,51,38,18,25,23,56,25,40,60,22,36,41,28,48,17,16,48,55,14,33,36,53,62,30,69,36,30,36,41,18,17,14,30,24,24,31,42,58,16,50,30,59,23,23,36,61,43,32,62,20,18,67,29,30,18,66,58,71,24,30,36,64,64,26,41,39,28,37,21,58,61
"F","20","Happy","84",23,65,2,9,15,24,1,24,15,2,64,82,2,23,57,7,2,81,79,4,79,53,66,21,12,4,4,65,16,2,4,20,91,89,2,85,78,65,1,65,7,38,2,13,2,38,1,2,11,2,83,84,39,2,25,19,2,86,17,4,84,72,63,2,2,1,73,3,9,2,2,45,42,29,3,28,82,71,2
